Brand,Title,Assurity,MRP,Stock,Price,Discount,Rating,Image,Product Link
TRIPR,Printed Men Beige Regular Shorts,Not Assured,"₹1,999",IN STOCK,₹299,85% off,15 ratings and 1 reviews,https://rukminim2.flixcart.com/image/832/832/xif0q/short/x/l/y/s-tbgshort-dp-skullbeard-tripr-original-imah4zhf45ywczra.jpeg?q=70&crop=false,https://www.flipkart.com/product/p/item?pid=SRTH4ZMY7NKDGCRG
The Souled Store,Men Boxy Fit Graphic Print Ribbed Collar Casual Shirt,Assured Product!,"₹1,999",IN STOCK,"₹1,799",10% off,41 ratings and 1 reviews,https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/1/u/d/xl-215480-the-souled-store-original-imagtctyx8dzbth5.jpeg?q=70&crop=false,https://www.flipkart.com/product/p/item?pid=SHTGTCT2HHZ852SZ
The Souled Store,Men Boxy Fit Graphic Print Ribbed Collar Casual Shirt,Assured Product!,"₹1,999",IN STOCK,"₹1,699",15% off,29 ratings and 1 reviews,https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/d/o/l/l-215477-the-souled-store-original-imagtdksfum7gggb.jpeg?q=70&crop=false,https://www.flipkart.com/product/p/item?pid=SHTGTDKSGHWN6YHV
The Souled Store,Men Boxy Fit Printed Button Down Collar Casual Shirt,Not Assured,"₹1,999",IN STOCK,"₹1,499",25% off,27 ratings and 2 reviews,https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/p/v/g/s-217659-the-souled-store-original-imagprtuhpwvpfvc.jpeg?q=70&crop=false,https://www.flipkart.com/product/p/item?pid=SHTGPRTUJAVYYTWV
The Souled Store,Men Boxy Fit Printed Spread Collar Casual Shirt,Not Assured,"₹1,999",IN STOCK,"₹1,899",5% off,73 ratings and 3 reviews,https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/v/q/4/l-230239-the-souled-store-original-imagtctf6mfsjkyt.jpeg?q=70&crop=false,https://www.flipkart.com/product/p/item?pid=SHTGTCT2SBZ6TN8G
ZUBINCO,Men Full Sleeve Solid Hooded Sweatshirt,Not Assured,"₹1,599",IN STOCK,₹719,55% off,ZERO RATING,https://rukminim2.flixcart.com/image/832/832/xif0q/sweatshirt/h/f/s/xl-rn-hdy-2024-zubin-original-imah8mp6utgajbsy.jpeg?q=70&crop=false,https://www.flipkart.com/product/p/item?pid=SWSH6JCJ33TJDMAD
IMSA MODA,Men Full Sleeve Printed Sweatshirt,Not Assured,"₹1,499",IN STOCK,₹449,70% off,"1,097 ratings and 82 reviews",https://rukminim2.flixcart.com/image/832/832/xif0q/sweatshirt/w/f/f/s-changer-1001-imsa-moda-original-imagsrrzjb5phcah.jpeg?q=70&crop=false,https://www.flipkart.com/product/p/item?pid=SWSGSRSYPHBAY3GR
TRIPR,Men Full Sleeve Solid Sweatshirt,Not Assured,"₹1,999",IN STOCK,₹339,83% off,"65,161 ratings and 5,544 reviews",No Image Available,https://www.flipkart.com/product/p/item?pid=SWSH4TUFGNXF22C6
Shvaas By Vastramay,"Men Geometric Print, Self Design, Woven Design Pure Cotton Straight Kurta  (White, Light Green)",Not Assured,"₹2,399",IN STOCK,"₹1,123",53% off,17 ratings and 1 reviews,https://rukminim2.flixcart.com/image/832/832/xif0q/kurta/6/6/m/m-vshvmk198gn-shvaas-by-vastramay-original-imaguu9aggyuacra.jpeg?q=70&crop=false,https://www.flipkart.com/product/p/item?pid=KTAGUU9RFXQFEMPW
Jompers,Men Embroidered Pure Cotton Straight Kurta  (Grey),Not Assured,"₹5,199",IN STOCK,"₹1,091",79% off,"1,609 ratings and 92 reviews",https://rukminim2.flixcart.com/image/832/832/xif0q/kurta/d/a/j/xl-ko-5006grey-jompers-original-imagrvhd2hrqj7zb.jpeg?q=70&crop=false,https://www.flipkart.com/product/p/item?pid=KTAGRVHEFXWMNNZB
Sanwara,Men Chikan Embroidery Cotton Blend Straight Kurta  (Green),Not Assured,"₹4,749",IN STOCK,"₹2,849",40% off,ZERO RATING,https://rukminim2.flixcart.com/image/832/832/xif0q/kurta/r/m/x/xl-sy1-sk-3292-dgn-sanwara-original-imah3zwtmwq8ya6q.jpeg?q=70&crop=false,https://www.flipkart.com/product/p/item?pid=KTAH3ZWTM2CTNNQA
FUTSE PENO,"Men Solid, Colorblock Casual Jacket",Not Assured,"₹2,400",IN STOCK,₹499,79% off,"9,159 ratings and 308 reviews",No Image Available,https://www.flipkart.com/product/p/item?pid=JCKH3PRZS3SGNMVZ
TRIPR,"Men Full Sleeve Printed, Striped Sweatshirt",Not Assured,"₹1,999",IN STOCK,₹449,77% off,"2,126 ratings and 94 reviews",https://rukminim2.flixcart.com/image/832/832/xif0q/sweatshirt/n/8/q/l-tblrnfulsweat-k36-tripr-original-imagugrpzk8n8zwz.jpeg?q=70&crop=false,https://www.flipkart.com/product/p/item?pid=SWSGUGRP2GXV4GAG
FUTSE PENO,Men Colorblock Casual Jacket,Not Assured,"₹3,000",IN STOCK,₹499,83% off,"11,676 ratings and 507 reviews",https://rukminim2.flixcart.com/image/832/832/xif0q/jacket/i/l/p/xl-1-no-heavy-upar-0-futse-peno-original-imah6hzhet6zpyaa.jpeg?q=70&crop=false,https://www.flipkart.com/product/p/item?pid=JCKH4YMCSYBGA4R5
FUTSE PENO,Men Colorblock Casual Jacket,Not Assured,"₹3,000",IN STOCK,₹649,78% off,"11,676 ratings and 507 reviews",https://rukminim2.flixcart.com/image/832/832/xif0q/jacket/1/t/y/l-no-heavy-upar-0-futse-peno-original-imah4ymcfzezbch3.jpeg?q=70&crop=false,https://www.flipkart.com/product/p/item?pid=JCKH4YMCZ7TQVCH6
